ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B00L1JT4YM,5.0,bought this for my refrigerator after reading hords of reviews much more expensive in home depot  for one there is no leakage has the right size small hole on top as pictured and is great match for the original that i had in my refrigerator would definitely buy another,waterfall filter  refrigerator water filter compatible with samsung ,17.99,0.8571428571428571,49.0,9.8,30.2,49,1,5,5,1,4,1,1,9,49.0,49.0,9.8,5.0,5.0,5.0,0.8,4.0,1.0,1.0,1.0,0.2,9.0,1.8,24,6,20,6,28,7,22,7,0.79,0.32,0.25,0.0,0.0,0.0,24,24,24.0,24.0,0.86,0.86,3.21,4.54,0.95,31.28,0.91,0.67,1.33,0.82,0.09,0.91,0.32,0.05,0.36
B00OR2M7GC,4.0,this is an ingenious little device first thought is to use it in the freezer like the product photos etc describe but there really are quite a few other places you can use it for instance we will be using it in the camper as well as in our portable coolers picnics at the beach etcsimple yet wellmade which kind of surprised me i was expecting something far flimsier but its simplicity may also be its downfall theres nothing supplied that i literally dont have lying around the house so i can make them and save the  amazon price at the time of this review this cost me all one needs is an old rx pill bottle a marble a rubber band and a velcro tie wrapso while my wife and i really like this cool little deviceaid if the sellermanufacturer wants me to buy more as opposed to making my own they really need to find a way to dramatically lower the price at  i buy this every time at  im looking to make my ownhaving said this the device is neat and worthy of a solid  rating buy one if only to say thank you stars,freezer meter food safety thermometer traceable temperature monitor without wires or batteries,7.99,0.6515151515151515,198.0,11.0,-112.58,198,1,26,18,1,12,1,4,23,198.0,198.0,11.0,18.0,26.0,18.0,0.6667,12.0,1.0,1.0,4.0,0.2222,23.0,1.2778,88,37,78,34,113,38,96,35,0.85,0.36,0.42,0.12,0.36,0.42,88,42,42.5,43.5,0.78,0.83,5.85,8.28,0.95,38.81,0.81,0.72,12.96,2.55,0.19,0.91,0.19,0.05,0.24
B000BWI086,5.0,my house is older  and has an exhaust fan through the kitchen wall to the outside  there was no filter so i decided to try adding this one to hopefully keep the fan clean and working well  it is the right diameter however my fan has a pull chain and i couldnt find a filter made with a notch for that  so i just cut a small hole in the filter for the chain and its working just fine,broan  filter for  exhaust fans,7.5,0.6582278481012658,79.0,11.285714285714286,16.67,79,1,10,7,1,3,1,2,9,79.0,79.0,11.2857,7.0,10.0,7.0,0.4286,3.0,1.0,1.0,2.0,0.2857,9.0,1.2857,35,6,31,6,47,8,38,8,0.81,0.21,0.17,0.0,0.0,0.0,35,35,35.0,35.0,0.74,0.74,3.61,5.11,0.92,21.84,0.82,1.0,8.0,2.0,0.21,0.74,0.16,0.08,0.24
B00838JCAK,5.0,had a washing machine blow a hose once and caused a lot of damage so when i bought a new machine i research hoses and decided on these  my installer loved these hoses  they were very easy to install and he asked me where did i get them and was going to recommend them to all his future customers,eastman  ss washing machine hose with  elbow  x  ,1.41,0.7627118644067796,59.0,8.428571428571429,36.97,59,1,9,7,1,3,1,3,7,59.0,59.0,8.4286,7.0,9.0,7.0,0.4286,3.0,1.0,1.0,3.0,0.4286,7.0,1.0,28,4,26,4,34,6,31,6,0.91,0.19,0.14,0.08,0.08,0.2,28,28,28.0,28.0,0.82,0.82,3.4,4.8,0.94,27.82,0.84,1.0,13.0,2.55,0.42,0.83,0.16,0.03,0.19
B01CC7UI46,4.0,i have purchased replacement  refrigerator water filters before as the original filter brand has become unreasonably expensive this waterdrop  filters although i have not installed them yet look like a good fit for my maytag refrigerator and even resembled the original brand in appearance i am happy with this purchase and sure these filters not only affordable in price will also serve my purposes,waterdrop refrigerator water filter compatible with maytag         whirlpool  pack of ,25.99,0.78125,64.0,8.0,-1.95,64,1,8,8,1,7,1,2,7,64.0,64.0,8.0,8.0,8.0,8.0,0.875,7.0,1.0,1.0,2.0,0.25,7.0,0.875,32,10,26,9,44,15,35,14,0.8,0.4,0.31,0.43,1.29,0.8,32,32,32.0,32.0,0.73,0.73,3.41,4.82,0.92,19.53,0.74,1.0,7.0,1.87,0.2,0.68,0.17,0.06,0.23
B018RLLVGU,5.0,installed easily no leaks works great you need to flush it thoroughly after installing  just received my second filter from this company to do the scheduled replacement same great product easy to install and works great the company even emailed me with a thank you and contact information if i needed any assistance with the install none needed  a great replacement at a fraction of the cost for the name brand filter,kenmore   amp lg  compatible refrigerator water filter ,7.95,0.7222222222222222,72.0,12.0,6.86,72,1,11,6,1,5,1,2,11,72.0,72.0,12.0,6.0,11.0,6.0,0.8333,5.0,1.0,1.0,2.0,0.3333,11.0,1.8333,32,12,31,12,43,16,42,16,0.98,0.38,0.38,0.31,1.23,0.78,32,32,32.0,32.0,0.74,0.74,3.45,4.88,0.92,20.79,0.74,0.69,6.23,1.77,0.21,0.84,0.1,0.07,0.17
B00MNOQ8OS,4.0,we moved to a new rental apartment and the dishwasher amana had a tiny silverware basket this was the cheapest good replacement and fit in just rightonly downside is that the holes are pretty bigcoarse and small utensils do fall through we have to put our ikea teaspoon headfirst because of that,ge   dishwasher silverware basket,20.34,0.8461538461538461,52.0,7.428571428571429,44.08,52,1,8,7,1,3,1,1,9,52.0,52.0,7.4286,7.0,8.0,7.0,0.4286,3.0,1.0,1.0,1.0,0.1429,9.0,1.2857,29,14,26,14,32,14,26,14,0.81,0.54,0.48,0.0,0.0,0.0,29,29,29.0,29.0,0.91,0.91,3.62,5.13,0.97,52.99,1.0,1.0,3.0,1.22,0.12,1.0,0.31,0.04,0.35
B00DM8JA80,2.0,i only gave it  stars because it doesnt work but i should say that i strongly suspected that the problem was with the solenoid inlet valve which has  copper inlet and  plastic tube outlets running to the water outlet and the ice maker since the water still flowed to the cold water outlet but not the ice maker i assumed there was a problem with the water valve but i knew i needed a new ice maker anyway since i had noticed that the ice maker was having trouble ejecting cubes because they were sticking to the probably worn out teflon cube compartments so i think i need a new water inlet valve do you have them available and is this a fairly universal partthanksandy hogg,whirlpool  ice maker assembly,62.0,0.5952380952380952,42.0,7.411764705882353,-39.5,126,1,18,17,3,14,3,3,17,126.0,42.0,7.4118,17.0,6.0,5.6667,0.8235,4.6667,3.0,1.0,1.0,0.1765,5.6667,1.0,49,18,43,18,84,31,71,31,0.85,0.44,0.37,0.12,0.24,0.34,49,32,33.4,30.0,0.58,0.64,3.78,5.35,0.88,15.82,0.61,0.94,15.06,2.74,0.23,0.45,0.1,0.06,0.15
B0156NFHK8,4.0,i sent a message to the seller asking if this would fit my model washer which was not listed on the on the machines this fits in he emailed back and said it will fit my model machine it did this has stronger springs than the one that i removed it is a set of four suspension spring so i replaced all four and no more unbalanced load,whirlpool  washer suspension rod,57.5,0.7647058823529411,68.0,6.181818181818182,36.3,68,1,11,11,1,10,1,2,12,68.0,68.0,6.1818,11.0,11.0,11.0,0.9091,10.0,1.0,1.0,2.0,0.1818,12.0,1.0909,27,5,23,5,35,5,30,5,0.86,0.17,0.19,0.08,0.08,0.2,27,27,27.0,27.0,0.77,0.77,3.23,4.56,0.93,21.15,0.77,0.83,8.33,2.04,0.33,0.79,0.1,0.03,0.13
B00GTZMHOW,3.0,good induction hotplate  the provided pot is great as a starter but it is so thin that it quickly can burn things and becomes warped  note that the wattage output isnt really a wattage  but rather an average wattage over some time  this can cause some challenges with the thin cookware  setting things to the lowest wattage  really means a duty cycle of about   higher wattages make the duty cycle higher  this methodology of duty cycling can be difficult for heat control,rosewill induction cooker  watt induction cooktop electric burner with stainless steel pot   qt  ,5.8,0.6951219512195121,27.333333333333332,8.2,-3.3,82,1,11,10,3,6,3,0,15,82.0,27.3333,8.2,10.0,3.6667,3.3333,0.6,2.0,3.0,1.0,0.0,0.0,5.0,1.5,39,14,35,13,51,19,45,18,0.88,0.4,0.36,0.38,1.12,0.75,39,38,38.3,38.0,0.76,0.76,3.86,5.46,0.93,25.03,0.78,1.0,8.0,2.0,0.18,0.68,0.18,0.04,0.22
B01CKAJ54E,5.0,the cover  for my oven light has bee broken for more than a year  i was able to check on line for the cover and saw several prices listed  iof course chose the less expensive cover given at amazon  my husband installed the new lens immediately and it fit perfectly  no more using a flaslhight to see if my baked item is brown, oven light lamp glass cover amp safe removal tool for bosch neff amp siemens cooker ovens,12.99,0.7936507936507936,63.0,12.6,24.45,63,1,8,5,1,2,1,1,9,63.0,63.0,12.6,5.0,8.0,5.0,0.4,2.0,1.0,1.0,1.0,0.2,9.0,1.8,38,11,34,11,42,11,36,11,0.86,0.31,0.29,0.27,0.82,0.64,38,38,38.0,38.0,0.9,0.9,4.15,5.86,0.97,60.62,0.94,1.0,11.0,2.35,0.31,0.85,0.28,0.06,0.33
B0053Y2CNG,5.0,i ordered this part when my duet dryer started shutting off early with a code  thermistorthe job of replacing the thermistor is quite a bit more difficult than the online videos suggest due very poor access to the  inch nuts etc  but once i got it done this part worked like a charm  all my laundry loads have completed full cycles since i replaced the part it was delivered quickly and was a great price,whirlpool  thermistor for dryer,13.81,0.8133333333333334,75.0,9.375,12.27,75,1,11,8,1,7,1,1,11,75.0,75.0,9.375,8.0,11.0,8.0,0.875,7.0,1.0,1.0,1.0,0.125,11.0,1.375,44,10,38,9,51,10,42,9,0.82,0.21,0.23,0.0,0.0,0.0,44,43,43.3,43.7,0.86,0.86,4.36,6.16,0.96,45.48,0.9,0.91,9.09,2.13,0.24,0.89,0.24,0.07,0.31
B01CA34OVK,1.0,having never done this before we relied on box instructions which say turn knob pull out old insert new lock knobthat is the shortened version  nowhere did it say that some samsung models need the water turned off the water gushed out like an opened fire hydrant  it took several minutes of fighting this gusher to get the new filter in and water stopped our kitchen family room and dining room all adjoinall with about  square feet of wood floors which are all now buckled up a few feet into each area  i cried all night and i fully hold this company to blame since they didnt bother to say on instructions that you should check your manual regarding wateron or off,waterdrop  refrigerator water filter compatible with samsung   hafcinexp  standard,14.99,0.7786885245901639,inf,10.166666666666666,-35.44,122,1,18,12,0,10,0,2,18,122.0,0.0,10.1667,12.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.1667,0.0,1.5,62,17,54,16,75,17,65,16,0.87,0.25,0.27,0.14,0.43,0.46,62,42,44.1,43.6,0.83,0.84,5.06,7.16,0.96,42.53,0.83,0.81,13.76,2.62,0.26,0.81,0.17,0.02,0.18
B001TJ5380,4.0,no issues with my samsung the filter is slightly longer then the samsung and required me to remove my top shelf to install which i keep in the highest position but i had no issue putting the shelf back in after installi soak new filters overnight in water to get the air out before installing it keeps from getting air in the lines which causes the water to drip after filling a glass the trick is to submerge the filter in a pitcher and use something to wedge it so the holes face up under water without wedging it under water it will float on its side i have a narrow container and have various kitchen utensils that keep it underwater, watersentinel  refrigerator replacement filter,63.83,0.6446280991735537,121.0,12.1,-34.43,121,1,21,10,1,5,1,3,12,121.0,121.0,12.1,10.0,21.0,10.0,0.5,5.0,1.0,1.0,3.0,0.3,12.0,1.2,51,19,45,18,69,25,60,24,0.87,0.4,0.37,0.35,2.45,1.11,51,39,38.6,39.6,0.74,0.78,4.34,6.14,0.93,25.76,0.75,0.8,12.8,2.53,0.27,0.66,0.13,0.05,0.18
B00AMF8NHK,5.0,the little magnet stopper for our washer just broke one day we really dont know how or when  having a front loader its important that you dont completely shut the door when its not in use or it starts to stink and get moldy  this little piece fit perfectly and does the job of holding the door in place again,lg electronics  washing machine magnetic door plunger,24.96,0.8166666666666667,60.0,12.0,35.96,60,1,9,5,1,3,1,2,8,60.0,60.0,12.0,5.0,9.0,5.0,0.6,3.0,1.0,1.0,2.0,0.4,8.0,1.6,31,8,28,8,34,9,31,9,0.91,0.29,0.26,0.27,0.82,0.64,31,31,31.0,31.0,0.91,0.91,3.76,5.32,0.97,58.46,0.9,0.91,9.09,2.13,0.32,0.91,0.13,0.13,0.26
B001TJ5380,2.0,the products arrived quickly and ahead of scheudle when this product was used to replace the original samsung filters it causes some issues for one when the water dispenser is utilized it continues to drip for a good  seconds after the water stop dispensing causing a lot of water to pool in the drip area, watersentinel  refrigerator replacement filter,63.83,0.7454545454545455,55.0,11.0,32.57,55,1,8,5,1,4,1,1,7,55.0,55.0,11.0,5.0,8.0,5.0,0.8,4.0,1.0,1.0,1.0,0.2,7.0,1.4,25,7,23,7,31,8,28,8,0.9,0.29,0.28,0.22,0.44,0.47,25,25,25.0,25.0,0.81,0.81,3.18,4.49,0.94,23.81,0.82,0.89,7.11,1.89,0.29,0.8,0.11,0.04,0.14
B0015UGPWQ,1.0,ive seen this product reviewed several places and it looked like a simple inexpensive solution for me it was a waste of moneyfirst the clips were on the small side and very difficult to manage when i finally got one of in place it dug into the tube and tore the flimsy foilthis brings me to the second problem the tube is made of a foil covering a wire frame the foil is thin and flimsy it tears easilyi ended up getting aluminum dryer vent tubes from the local hardware store they are more expensive but easier to work with much more durable and well worth the investment,dundas jafine  vents ,13.25,0.7407407407407407,54.0,10.8,-21.23,108,1,15,10,2,8,2,5,14,108.0,54.0,10.8,10.0,7.5,5.0,0.8,4.0,2.0,1.0,2.5,0.5,7.0,1.4,52,15,48,15,64,19,55,19,0.86,0.35,0.29,0.13,0.27,0.37,52,41,42.2,40.0,0.81,0.82,4.6,6.5,0.95,36.18,0.87,0.87,11.27,2.37,0.24,0.84,0.22,0.05,0.27
B005R597HA,5.0,this little dryer works as well as the previous fullsized one ive used in the past i can fit five large childsized jeans and a couple of shirts in one load ive got an avanti washer too  the clothes are spun quite dry so drying time is not a problem the lint catcher is a bit of a hassle but not a big one you have to do a twohand pull while kneeling on the floor ive solved the venting problem by putting the dryer in the bathroom and using the fan simultaneously the dryer is quite light also which makes it easy to slide around noise level is average id recommend you place it away from where you regularly lounge its about as loud as a dishwasher,avanti  automatic portable compact dryer with stainless drum and seethru window,35.91,0.703125,128.0,11.636363636363637,-33.07,128,1,16,11,1,8,1,1,15,128.0,128.0,11.6364,11.0,16.0,11.0,0.7273,8.0,1.0,1.0,1.0,0.0909,15.0,1.3636,63,25,56,25,76,29,62,29,0.82,0.47,0.4,0.4,2.4,1.1,63,44,43.6,42.2,0.83,0.88,5.11,7.23,0.96,43.42,0.9,0.93,13.07,2.56,0.23,0.86,0.23,0.06,0.29
B01G6921ZU,5.0,like other reviews you will see here ive tried a number of different brands and have had experiences where filters fall apart in days become hard as a rock and or yellow within a matter of a couple days etc  quality and size of the filter has been a big issue  not with these  you can see and feel the difference in quality  i easily get double if not triple the use out of these than the next best option i came across  please note that you should rotate them daily and ensure they are wet if your humidifier runs dry you need to soak the whole thing in water when you refill  you can find better deals purely from a financial perspective but when you factor in what youre getting and how long they last its not even a debate,fette filter  humidifier wicking filters compatible with  filter a,29.99,0.7304964539007093,141.0,10.071428571428571,-54.73,141,1,18,14,1,9,1,5,19,141.0,141.0,10.0714,14.0,18.0,14.0,0.6429,9.0,1.0,1.0,5.0,0.3571,19.0,1.3571,66,14,59,13,77,15,65,14,0.84,0.22,0.21,0.25,1.25,0.79,66,42,44.6,44.4,0.86,0.84,5.32,7.52,0.96,53.16,0.91,0.9,16.2,2.85,0.28,0.89,0.22,0.06,0.28
B0027E8EXC,5.0,first unit came damagedthey replaced it with no resistance unit works great i am very happy with it the unit is like having an normal size ice maker in its own little freezer i did read where you have to defrost every  weekshope that isnt true besides the price the no drain required is what made me select it over larger units that are not freezersjust make ice and use rely on ice to keep it close to freezing so there is some meltingand needed drain,edgestar  built in ice maker  lbs stainless steel and black,28.8,0.7906976744186046,86.0,6.615384615384615,9.57,86,1,17,13,1,12,1,1,15,86.0,86.0,6.6154,13.0,17.0,13.0,0.9231,12.0,1.0,1.0,1.0,0.0769,15.0,1.1538,43,12,36,11,56,15,44,14,0.79,0.32,0.28,0.21,0.64,0.57,43,39,39.5,38.9,0.77,0.78,4.06,5.75,0.93,26.64,0.82,0.93,12.07,2.46,0.3,0.67,0.2,0.07,0.27
B00DM8JHPQ,5.0,i wish wed known about this years ago  i made the mistake of canning without a canning burner and have burnt out numerous burners on my stove at  a pop replacement cartridges are expensive  then my husband discovered this and for a fraction of the cost i have a working burner again  it was extremely easy to replace,whirlpool  receptacle kit,7.75,0.7758620689655172,58.0,9.666666666666666,29.53,58,1,8,6,1,3,1,1,6,58.0,58.0,9.6667,6.0,8.0,6.0,0.5,3.0,1.0,1.0,1.0,0.1667,6.0,1.0,30,9,26,9,36,11,30,11,0.83,0.37,0.3,0.14,0.14,0.27,30,30,30.0,30.0,0.83,0.83,3.54,5.0,0.95,30.59,0.87,1.0,7.0,1.87,0.23,0.81,0.17,0.07,0.23
B001AAEGBI,4.0,update after   years these are still workingi have been a fan of the stainless external braid hoses for various plumbing hookups but the pricelength value that this set represented was compellingtheres a lot of fud about the stainless external braid being just a simple hose inside a braided shell but the fact is that the braid provides both abrasion protection and mechanical support for the internal tubing and i have sections of it that have been in service under pressure for over  years without a failure  and on hot water i have never had any stainlessbraided hose fail in service i cant say the same for rigid pvc or cpvc plumbing or even copper pipei have no reason to expect this set to be superior to the braided stainless variety and it certainly doesnt look as goodbut this set is definitely less expensive than a comparable length stainlessbraided set and i like the rightangle connectors on one end the build quality appears excellent and both ends were dripfree with moderate handtightening indicating good mechanical tolerances and quality washersthe one missing feature is a marker to distinguish the hot and cold lines i marked the metal portions of one hose with red paint to indicate the hot circuit but there really should have been a colored plastic sleeve or clip or tag or something  the lack of this feature which is present in other washer hookup sets on amazon cost this set a star,whirlpool   industrial braided fill hose with  degree elbow ,25.13,0.6090534979423868,,,-166.72,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,47,102,47,152,59,131,59,0.86,0.45,0.44,0.39,2.72,1.17,106,37,41.1,41.0,0.7,0.82,6.08,8.6,0.93,30.41,0.78,0.89,14.22,2.67,0.12,0.76,0.19,0.05,0.24
B001216TOW,4.0,i ordered two of these elements and they were packed well and arrived early  they seem to be working fine  sadly jenn airs quality is a shadow of what it once was before they were bought by whoever whirlpool china  we originally had the flat surface burners but they literally became discolored like the first week we had them  they still worked but the clean look was gone  so when it came time to replace them i decided to go back to the old fashioned coil element  its old school and does not look as nice but i know what im getting and they should hold up better than the flat surface elements  im only giving  starts because really this is not what i wanted jenn air just does not want to produce a quality flat surface,jennair  conventional coil element cartridge black,178.7,0.6715328467153284,34.25,6.523809523809524,-50.67,137,1,26,21,4,13,4,2,15,137.0,34.25,6.5238,21.0,6.5,5.25,0.619,3.25,4.0,1.0,0.5,0.0952,3.75,0.7143,61,13,54,13,89,16,71,16,0.8,0.23,0.21,0.08,0.15,0.28,61,41,38.5,39.6,0.69,0.82,4.57,6.47,0.92,23.16,0.76,0.81,16.96,2.91,0.3,0.71,0.15,0.14,0.3
