ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B00LWZH8C0,5.0,perfect i needed earrings that were comfortable to sleep in and these looked like they would fit the bill they are very comfortable and low maintenance exactly what i needed and they look prettyim very petite and wear my hair in a mohawk and they dont look big or oversized on me,jewelrieshop men jewelry set huggie earrings hinged hoop dangle earrings stainless steel hypoallergenic urban hoop earrings,7.99,0.75,52.0,7.428571428571429,44.08,52,1,8,7,1,4,1,3,3,52.0,52.0,7.4286,7.0,8.0,7.0,0.5714,4.0,1.0,1.0,3.0,0.4286,3.0,0.4286,22,8,21,8,29,9,27,9,0.93,0.33,0.36,0.22,0.44,0.47,22,22,22.0,22.0,0.76,0.76,2.89,4.09,0.92,17.83,0.78,0.67,4.0,1.41,0.22,0.88,0.22,0.07,0.3
B00QVCLG4A,5.0,its absolute perfection i bought the small for my tall but thin  year old son fits him perfectly with a little bit of room to grow he insisted he wanted to be a cheetah for halloween because they are strong and fast great quality very well made and he doesnt want to take it off happy boy happy mama,seeksmile child open eyes open nose and mouth lycra leopard animal zentai,29.99,0.864406779661017,59.0,9.833333333333334,36.97,59,1,9,6,1,4,1,2,10,59.0,59.0,9.8333,6.0,9.0,6.0,0.6667,4.0,1.0,1.0,2.0,0.3333,10.0,1.6667,34,7,33,7,37,7,35,7,0.95,0.2,0.21,0.12,0.12,0.25,34,34,34.0,34.0,0.92,0.92,3.95,5.59,0.98,66.97,0.94,1.0,8.0,2.0,0.23,1.0,0.29,0.11,0.4
B000NBIMG0,3.0,i bought these sandals to use for the showers at university and they work great for that purpose theyre made of a durable rubbertype material which kept them from holding water and growing mold like my other ones did the thick sole is an additional layer of securityhowever i tried using them once for outdoor use and the plastic thong rubbed into the side of my foot until i bled i dont use them for that purpose anymore and now we get along just fine,havaianas womens top flip flop sandal,26.49,0.7529411764705882,85.0,8.5,2.12,85,1,12,10,1,4,1,1,15,85.0,85.0,8.5,10.0,12.0,10.0,0.4,4.0,1.0,1.0,1.0,0.1,15.0,1.5,44,16,39,15,51,16,46,15,0.9,0.33,0.36,0.13,0.27,0.37,44,43,43.3,43.6,0.86,0.86,4.36,6.16,0.96,45.48,0.85,0.87,11.27,2.37,0.28,0.88,0.11,0.02,0.13
B00AQ3Y9R6,4.0,i just purchased this purse in black  my first one was brown and i used it for the past  years  has held up great like the size and handle length  my biggest criteria for a purse is the pockets on the outside for easy access to keys and phone  this purse delivers,top grain leather locking concealment purse  ccw concealed carry gun handbag,49.0,0.7692307692307693,26.0,10.4,44.08,52,1,5,5,2,2,1,2,9,52.0,26.0,10.4,5.0,2.5,2.5,0.4,1.0,2.0,0.5,1.0,0.4,4.5,1.8,27,3,24,3,31,5,27,5,0.87,0.19,0.11,0.17,0.17,0.29,27,27,27.0,27.0,0.87,0.87,3.43,4.85,0.96,37.07,0.89,1.0,6.0,1.73,0.22,0.86,0.22,0.04,0.26
B013CJQCES,4.0,i bought these glasses for a halloween party and they were pretty darn cooluntil they stopped working  after approximately  hours of use the light went out and never came back on  i immediately thought the batteries died so i replaced them with new ones i had with me but that didnt rectify the problem  i visually inspected the wiring and the neon piping but there was no obvious damage or loose parts  the red light on the battery pack lit up with each press of the button as i toggled through the lighting options solid slow blink fast blink and seeing as though the batteries and battery pack were working i concluded that it was a wiring issue likely stemming from dancingi contacted amazon about the problem whose outstanding customer support issued me a refund upon receipt of my glassesi rated  stars because the glasses were of good quality and were what i expected based on videos and pictures i viewed prior to purchase  one thing i definitely advise is to order the clear lenses if wearing them in a low light setting youll be glad you did,neon nightlife slightly tinted wayfarer light up glasses,19.99,0.6914893617021277,47.0,8.545454545454545,-110.89,188,1,28,22,4,18,4,6,23,188.0,47.0,8.5455,22.0,7.0,5.5,0.8182,4.5,4.0,1.0,1.5,0.2727,5.75,1.0455,89,32,84,32,118,37,106,37,0.9,0.35,0.36,0.3,2.7,1.16,89,42,39.7,39.5,0.75,0.83,5.79,8.19,0.94,35.04,0.79,0.97,28.03,3.74,0.27,0.7,0.13,0.08,0.21
B00YHFGMP6,5.0,great product i am very excited to wear this for halloween i did buy a petti coat and i would say is necessary to complete the look it is very well made for the cost and fits me well i am not sure if i will wear the goggles as you need a lot of hair to make it work to be comfortable,california costumes womens steampunk fantasy costume,50.17,0.7142857142857143,63.0,7.875,41.37,63,1,13,8,1,5,1,1,7,63.0,63.0,7.875,8.0,13.0,8.0,0.625,5.0,1.0,1.0,1.0,0.125,7.0,0.875,28,6,26,6,40,6,34,6,0.85,0.18,0.21,0.0,0.0,0.0,28,28,28.0,28.0,0.7,0.7,3.13,4.43,0.9,16.57,0.76,0.83,8.33,2.04,0.29,0.77,0.15,0.06,0.21
B00O6RMC54,5.0,for reference i am   with measurements the dress fit very well the material is pretty much what you pay for  cotton used for costume designs the lace on the bottom is awkward where it doesnt fall nicely but after one ironing it should look better i bought a petticoat to make the aline dress more dramatic but the dress looks just fine without itgood purchase modest yet cute design dont buy any other alice costume if you can fit into this one,bonamana women halloween french lolita maid costume cosplay apron,25.49,0.7926829268292683,82.0,8.2,5.17,82,1,12,10,1,5,1,1,12,82.0,82.0,8.2,10.0,12.0,10.0,0.5,5.0,1.0,1.0,1.0,0.1,12.0,1.2,42,15,39,15,52,16,47,16,0.9,0.34,0.36,0.11,0.11,0.24,42,41,40.6,40.4,0.81,0.82,4.12,5.82,0.95,31.75,0.83,0.89,7.11,1.89,0.17,0.81,0.23,0.13,0.36
B00EE6OGTW,5.0,these are the cutest darn shoes and i am so glad they come in a  i prefer the little toddler srts from stride rite but a lot of them only go up to a sz  i love these so cute the quality i expect from sr and my little boy loves them i do think they are a tad big though he is just getting into a  but these are a little big so they will fit for a long time,stride rite srt captain america sneaker toddler,29.99,0.6666666666666666,27.0,5.785714285714286,23.1,81,1,14,14,3,9,3,1,11,81.0,27.0,5.7857,14.0,4.6667,4.6667,0.6429,3.0,3.0,1.0,0.3333,0.0714,3.6667,0.7857,34,11,31,11,47,11,39,11,0.83,0.28,0.32,0.08,0.08,0.2,34,34,34.0,34.0,0.72,0.72,3.51,4.96,0.92,19.88,0.79,0.85,9.31,2.16,0.28,0.92,0.23,0.05,0.28
B00XTM0ZPG,5.0,i am in love with these sunglasses i even decided to order a pair of actual glasses that are a similar style because of how much i like the look so glad i ordered them i was never a sunglasses wearer until my eyes started bugging me in the sun now i cant stop wearing things they are cute comfy and a good price my only thing is i wish they came with a hard case instead of a bag but that was just a quick visit to the dollar store to fix ,wearme pro  classic half frame polarized semirimless rimmed sunglasses,9.99,0.7204301075268817,93.0,9.3,2.46,93,1,13,10,1,9,1,1,14,93.0,93.0,9.3,10.0,13.0,10.0,0.9,9.0,1.0,1.0,1.0,0.1,14.0,1.4,43,9,39,9,57,10,48,10,0.84,0.21,0.21,0.3,0.9,0.67,43,37,38.2,38.1,0.75,0.74,4.03,5.7,0.93,25.19,0.81,0.9,8.1,2.01,0.19,0.79,0.25,0.04,0.29
B00IJHMPE0,1.0,this dress was not only too short for me but also too small i ordered a large but it fit like a medium i guess what they failed to mention was this dress is cut on the small side so you could get one size larger now i have to return it,plum feathers exotic print smocked waist maxi dress plus  regular sizes,18.49,0.7884615384615384,26.0,5.777777777777778,61.0,52,1,11,9,2,6,2,0,5,52.0,26.0,5.7778,9.0,5.5,4.5,0.6667,3.0,2.0,1.0,0.0,0.0,2.5,0.5556,23,1,17,1,31,1,22,1,0.71,0.05,0.04,0.11,0.11,0.24,23,23,23.0,23.0,0.74,0.74,2.92,4.13,0.91,17.16,0.77,1.0,9.0,2.12,0.41,0.71,0.14,0.05,0.18
