ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B014CE16S4,3.0,ive been using this for two weeks primarily on the back of my hands  i have sun spot damage from way too much time at the beach in my younger days  i havent noticed any improvement yet however youre supposed to keep using the cream for  weeks for results  so time will tell  i tried using it on my face on an area where i also have sun damage but i broke out with blemishes so i discontinued facial use  i was surprised because i dont have sensitive skin  also it took me a while to figure out how to open the tube  it opens like a tube of glue remove the cap and prick the foil seal  i guess i was supposed to know this,vichy proeven daily dark spot serum corrector  fl oz,45.0,0.6666666666666666,126.0,12.6,-31.04,126,1,19,10,1,7,1,1,14,126.0,126.0,12.6,10.0,19.0,10.0,0.7,7.0,1.0,1.0,1.0,0.1,14.0,1.4,57,19,48,18,83,20,66,19,0.8,0.29,0.33,0.13,0.39,0.44,57,38,37.7,37.1,0.69,0.76,4.42,6.26,0.91,22.57,0.73,0.74,12.57,2.51,0.26,0.79,0.12,0.0,0.12
B001MF3FMW,5.0,i dont have sensitive skin but opted for this over the green or red thinking that a sensitive skin product would feel all the better i just completed my first shave and came away loving it the thickstiff cream in the container loaded up very easily into my brush after squeezing out excess water a little goes a long way i loaded the tip and was able to get coverage  times over my face and neck with a single load a nice slick lather was produced  i have never felt a razor glide so effortlessly over my skin after shaving i noticed that my skin started to tingle it felt like menthol this might bother some but i loved itover all  stars for value ease of use and quality of shave,proraso shaving soap in a bowl sensitive skin  oz,10.0,0.6870229007633588,131.0,10.916666666666666,-44.58,131,1,17,12,1,7,1,6,20,131.0,131.0,10.9167,12.0,17.0,12.0,0.5833,7.0,1.0,1.0,6.0,0.5,20.0,1.6667,65,24,57,23,82,28,72,27,0.88,0.38,0.37,0.33,2.33,1.08,65,44,42.5,44.6,0.79,0.88,5.08,7.18,0.95,36.3,0.79,0.86,15.43,2.78,0.25,0.76,0.17,0.06,0.22
B00KSS3MJ0,5.0,ive used st tropez for several seasons now  the color is great and when used with a mitt  it goes on very smoothly without any streaking  my biggest problem is the timing since you have to plan the application  or  hours prior to shower depending on intensity you want  it does have a strong scent for the first hour or longer but the result is worth it,st tropez self tan express advanced bronzing mousse  fl oz,44.0,0.7611940298507462,67.0,8.375,20.39,67,1,12,8,1,3,1,2,4,67.0,67.0,8.375,8.0,12.0,8.0,0.375,3.0,1.0,1.0,2.0,0.25,4.0,0.5,33,12,30,12,38,12,32,12,0.84,0.38,0.36,0.22,0.44,0.47,33,33,33.0,33.0,0.87,0.87,3.79,5.35,0.96,40.73,0.94,0.89,7.11,1.89,0.25,0.93,0.19,0.09,0.28
B01G8UTNRG,3.0,i love this stuff it works very well and i like the mint smell it has i was finding bottles of this for  or  for  ounces at tjmaxx for quite a while but i havent found any in a long time so i had to resort to purchasing it from amazon at the very expensive price of  for a very small bottle of  ounces i love it but i am going to have to learn to live without it, beauty specialty care hand amp nail cream ultra moisturizing lotion for dry skin,15.0,0.6329113924050633,79.0,8.777777777777779,25.13,79,1,14,9,1,2,1,0,12,79.0,79.0,8.7778,9.0,14.0,9.0,0.2222,2.0,1.0,1.0,0.0,0.0,12.0,1.3333,28,6,25,6,43,7,36,7,0.84,0.19,0.21,0.07,0.07,0.19,28,28,28.0,28.0,0.65,0.65,3.02,4.27,0.89,14.32,0.69,0.64,5.79,1.7,0.25,0.85,0.11,0.06,0.17
B002782HH2,4.0,beauty products are so personal what works for one might not work for another for the price id suggest going to sephora and asking for a sample if you like it in the store youll like it at home i am very pale have relatively good skin but have gamers eyes from staring at a computer screen for long periods of time for work large circles around my eyes i find this brightens up my eyes so i dont quite look like a zombie when im not wearing makeup it lasts longer than you think it will as a little goes a long way,skyn iceland icelandic relief eye pen  fl oz,20.0,0.7403846153846154,104.0,8.0,-0.25,104,1,17,13,1,12,1,2,15,104.0,104.0,8.0,13.0,17.0,13.0,0.9231,12.0,1.0,1.0,2.0,0.1538,15.0,1.1538,49,11,43,11,62,11,52,11,0.84,0.21,0.22,0.18,0.53,0.51,49,41,41.7,42.3,0.79,0.82,4.4,6.22,0.94,31.44,0.83,0.88,13.24,2.57,0.29,0.92,0.13,0.04,0.17
B0002L93N2,5.0,i love this curling iron  i have used it for several years  i have shoulder length hair and this size barrel turns it under slightly and provides all over body  love the extra clips  this extends the life of the curling iron immensely  a great bargain because of the extra clips  this curling iron has an extra long cord  love that,hot tools professional  gold extralong barrel curling ironwand for long lasting results,59.99,0.6557377049180327,30.5,8.714285714285714,26.48,61,1,7,7,2,4,1,1,10,61.0,30.5,8.7143,7.0,3.5,3.5,0.5714,2.0,2.0,0.5,0.5,0.1429,5.0,1.4286,27,7,26,7,39,9,34,9,0.87,0.26,0.26,0.12,0.12,0.25,27,27,27.0,27.0,0.69,0.69,3.06,4.32,0.9,15.85,0.76,0.88,6.12,1.75,0.21,0.76,0.15,0.06,0.21
B0011FMDU8,5.0,wonderful product in fact the whole line for  is fantastic and the prices offered on amazoncom are unbeatable i was introduced to the product at an aesthetic clinic loved it however the price was quite high so i decided to search this site and it was the best i could have done highly recommended ,nia  physical cleansing scrub  fl oz,38.0,0.7777777777777778,54.0,6.75,25.13,54,1,9,8,1,3,1,0,8,54.0,54.0,6.75,8.0,9.0,8.0,0.375,3.0,1.0,1.0,0.0,0.0,8.0,1.0,27,7,23,7,35,7,26,7,0.74,0.27,0.26,0.0,0.0,0.0,27,27,27.0,27.0,0.77,0.77,3.23,4.56,0.93,21.15,0.88,1.0,6.0,1.73,0.23,0.73,0.31,0.04,0.35
B004GWUL3Y,5.0,have used this for years it keeps my hair from getting dried out from the weather etc i let my hair air dry  inever blow dry but in between shampoos i spray this on everyday on my dry hair and it defiantly keeps my hair from dryness and it smells great kristina,paul mitchell awapuhi moisture mist  fl oz,11.85,0.6730769230769231,52.0,7.428571428571429,44.08,52,1,9,7,1,3,1,0,6,52.0,52.0,7.4286,7.0,9.0,7.0,0.4286,3.0,1.0,1.0,0.0,0.0,6.0,0.8571,22,8,20,7,30,8,28,7,0.93,0.25,0.36,0.11,0.11,0.24,22,22,22.0,22.0,0.73,0.73,2.84,4.02,0.91,16.2,0.71,0.89,7.11,1.89,0.29,0.73,0.07,0.04,0.11
B003BXT9IW,1.0,have only used once and when you set on the setting for higher level the paint starts to come off in your hair when i checked to make sure i brought the right product i realized this is not the original by conairdisappointed need to return but have some difficulty,babylisspro nano titanium styler,139.95,0.82,50.0,7.142857142857143,46.11,50,1,10,7,1,5,1,1,4,50.0,50.0,7.1429,7.0,10.0,7.0,0.7143,5.0,1.0,1.0,1.0,0.1429,4.0,0.5714,28,2,24,2,31,2,26,2,0.84,0.08,0.07,0.0,0.0,0.0,28,28,28.0,28.0,0.9,0.9,3.56,5.03,0.97,50.32,0.92,1.0,10.0,2.24,0.38,0.89,0.19,0.08,0.27
B001T0HHAG,4.0,this works perfect and is great for travel  my only reason for giving it less stars is that the temperature cannot be controlled the straightener is either on or off  it is very powerful though and manages to get my super thick and curly hair straight in a reasonable amount of time not as powerful as the larger version but it is tiny for travel purposes,babylisspro nano titanium mini straightening iron,29.99,0.7575757575757576,67.0,11.166666666666666,21.41,67,1,8,6,1,3,1,4,7,67.0,67.0,11.1667,6.0,8.0,6.0,0.5,3.0,1.0,1.0,4.0,0.6667,7.0,1.1667,31,4,28,4,39,4,30,4,0.77,0.13,0.13,0.0,0.0,0.0,31,31,31.0,31.0,0.79,0.79,3.51,4.96,0.94,25.39,0.93,1.0,5.0,1.58,0.17,0.92,0.33,0.03,0.37
