ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B007JX8O0Y,4.0,great microphone for the price bought it for my son to do some voice overs for his school project and he loves it cant really beat this mic for the price point with what you get are there other better mics out there than this one sure but like i said you wont be disappointed with this one and when you eventually upgrade to a more expensive mic you will always have this one in your bag for other set ups later on,audiotechnica  cardioid dynamic usbxlr microphone,14.99,0.7469879518072289,41.5,10.375,21.07,83,1,10,8,2,5,1,0,9,83.0,41.5,10.375,8.0,5.0,4.0,0.625,2.5,2.0,0.5,0.0,0.0,4.5,1.125,37,8,31,8,42,9,34,9,0.81,0.26,0.22,0.3,0.9,0.67,37,37,37.0,37.0,0.88,0.88,4.04,5.71,0.97,47.87,0.91,1.0,10.0,2.24,0.29,0.88,0.15,0.06,0.21
B00D3QFHN8,1.0,i was hoping to use this to update the operating systems on a few of my older synthesizers which dont have usb  it didnt work for any of them prophet  access virus kb and emu command station  i used all sorts of different programs configurations settings on both a pc laptop and a macbook  didnt work  i bought a  dollar cable from guitar center a few days ago and i was able to do all of the updates first try on a cruddy old pc laptop  i was convinced that i was doing it wrong and wasted a lot of time troubleshooting  this cheap cable robbed me of time i will never get back melodrama alert  if i could go back in time i would hire a terminator to kill me before i was born so that i would never have bought this and let it ruin my life  seriously though cable sucks bro,hde usb to midi interface cable keyboard synthesizer drum pad instrument midi  pin adapter for windows pcs,8.99,0.6233766233766234,154.0,9.625,-67.92,154,1,23,16,1,9,1,4,17,154.0,154.0,9.625,16.0,23.0,16.0,0.5625,9.0,1.0,1.0,4.0,0.25,17.0,1.0625,66,31,61,31,97,37,85,37,0.88,0.44,0.47,0.46,5.04,1.59,66,41,39.0,38.6,0.68,0.82,4.74,6.7,0.92,23.6,0.72,0.88,18.38,3.03,0.25,0.66,0.11,0.02,0.13
B0002D0CL2,5.0,since my boyfriend plays guitar and has been since he was a teenager he goes through a lot of picks when i purchased these for him not only did he have me feel the newer picks and the old picks he dropped each on the table so i could hear the difference in materials when he played for me he noticed the difference as well and wanted more for future use,dunlop jazz iii pick  black stiffo ,5.72,0.704225352112676,inf,6.454545454545454,33.25,71,1,12,11,0,9,0,2,9,71.0,0.0,6.4545,11.0,0.0,0.0,0.8182,0.0,0.0,0.0,0.0,0.1818,0.0,0.8182,29,4,25,4,36,4,30,4,0.83,0.13,0.14,0.0,0.0,0.0,29,29,29.0,29.0,0.81,0.81,3.42,4.83,0.94,25.79,0.83,0.9,8.1,2.01,0.3,0.73,0.1,0.07,0.17
B0017T7XCG,5.0,i snagged this deal from amazon when they were at  the week before christmas the harps arrived just before new years im fairly obsessed with special  these days having come around from marine bands and traveling through the gamut of harmonica brands and modelsa few things of note about this  these are indeed the new progressive special  not nos ones from before that change the case is pretty good although it is a bit cheap and made in china the outer clamshell is quite rigid although it is of a flexible canvas but you can tell that lower quality materials were used for the padding and cutouts probably cheap opencell foam for the one and styrofoam for the other its all lined with a velvetlike material on the inside however and the harps do fit snugly not a bad addon for this purchase but not really a main reason to buy this set fyi there is space for two additional harps in the case the harps are all gapped high for my taste but the two lower harps a and g are gapped very widely this is a nonissue if you know how to tweak your harps which i do the e and the c were the best two ootb but ymmv yes that e is in there and its a bit hard to know what to do with it two things however a at  even if you never play the e you are still getting a good deal for the four remaining harps b if you are handy half an hour with a file and tuner and youve got a high f still a fringe harp for me but probably more useful than the e perhaps more useful still break out the blutak or the soldering iron and you could take it down to an eb you could even experiment with an alternate tuning layout tuning this to easy third would let you play across the whole harp in  position as if it were  which is the key of a major could come in pretty handy for country tunes and the likesome observations about and thoughts on the new progressive special  designfirst impressions are that they are not significantly different than the old special  the tone is clear and certainly darker than a marine band on the bettergapped ones the bends come easy and can be sustained well with out squeals or unwanted overtones the lowerkeyed ones seem breathy to me but i am fairly certain thats due to the wide gaps and not due to being leakyout of curiosity ive just opened up the g harp and am comparing it to an older special  from my main set heres how they line up covers other than whats stamped on them the covers appear identical to the older version same profile same placement of the screw holes slightly forward of center and same coverplate screws slotted head with the little square nuts the last is a bit of disappointment as i was hoping that they would have upgraded the coverplate screws to at least those that are used on the mb deluxe reedplates the reedplates differ in that the new ones have two extra holes at each end apparently for mounting on a different comb the two additional holes seem to match the spacing of my mb deluxe otherwise the screw hole patterns and other cutouts are identical to the older model spec  reedplate screws this seems like a bit of a negative the new screws are thinner and have smaller heads this could be bad as the smaller heads would tend to put more focused pressure on the reedplate which could warp the plate a bit if they are tightened too far it also means that you wont be able to mix and match reedplates from the old spec  line with the new ones heres the screw measurements using calipersold reedplate screw dimensionsscrew head diameter screw shaft diameter screw length new reedplate screw dimensionsscrew head diameter screw shaft diameter screw length  reeds as i said most of the reeds were gapped too wide for my preferences ootb the low harps were gapped especially wide for example it looks like the  draw reed on my new g harp is gapped approximate  the thickness of the reed tip reed dimensions appear identical to the old spec  and tuning marks seem comparable to the way they were done before looks to me like they were tuned with a hand file and not a rotary tool or a drawscraper reed tips have crosshatched file marks and only one reed was filed at the base this was done diagonally and over a very narrow swath tuning a quick check with a tuner app on my phone suggests its tuned to  with the  blow dead on the money the  blow a little flat and the  blow a little sharp the rest is definitely tuned to a compromise of some kind for example  draw comes up  cents flat and  blow is  cents flat chords sound pretty smooth and single notes are generally in okay tuning seems similar to the way the special  has always been tuned comb externally the comb appears absolutely identical to the old spec  comb the only perceptible difference may be the color which seems slightly bluer on the new harps than the old but that could simply be a matter of age internally it appears that the comb has some extra holes at each end perhaps to accommodate other cover plates eg mb deluxecrossover these seem not to have any effect on airtightness or ergonomics howeveri spent about  minutes working on the g harp doing basic gapping and shaping of how the reeds lay that small work makes it play so much better than straight out of the box the tone is rich but clear the draw bends are all smooth and very present chords are nice and full and the tuning seems very accurate the  overblow was there and easy to get and sustain with minimal squeal although i could not bend it up probably some embossing would help that couldnt get the  or  overblow to sustain so those holes would need some work although i tend not to use those obs much blow bends were easy and sounded good couldnt get the  halfstep however which means i need to do some more adjustment on those reedsin general i think these will all be very good harps once gapped to my playing style the only reservation i have is the change to the reedplate screws which i think could be a significant issue if overtightened one should be very careful when reassembling these harps the screws should be barely tightened just so that they are not loose and one should be very careful not to overtorque them probably they should also be tightened slowly one at a time in a crosspattern like tightening the bolts on a care tire,hohner marine band special   pro pack  keys of g a c d amp e,34.99,0.3796376186367558,,,-1079.54,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,149,320,149,699,247,582,246,0.83,0.42,0.43,0.25,8.81,2.1,343,44,42.8,40.5,0.49,0.79,9.17,12.97,0.89,26.17,0.55,0.55,42.65,4.62,0.13,0.6,0.15,0.05,0.2
B00WU5OM5M,5.0,great lights  i am very happy with these lights  excellent price point  good output build in fan so they dont get hot  i bought two lights to use as back lights with my photo booth set up  they worked great  if you want some good quality but affordable lights  these are the right ones to get,lalucenatz par lights with rgb  wash lighting by remote and dmx control for wedding church stage lighting,26.74,0.7857142857142857,56.0,7.0,40.02,56,1,11,8,1,7,1,0,10,56.0,56.0,7.0,8.0,11.0,8.0,0.875,7.0,1.0,1.0,0.0,0.0,10.0,1.25,29,4,27,4,38,4,35,4,0.92,0.11,0.14,0.11,0.11,0.24,29,29,29.0,29.0,0.76,0.76,3.33,4.7,0.93,21.26,0.77,0.89,7.11,1.89,0.23,0.73,0.23,0.03,0.26
B00ND1K8T6,4.0,very compact and well built  from the small footprint and sturdy case to the versatile features provided by this mixer its a great dealmany have mentioned the lack of a power switch but you can easily work around that and get great sound without spending a fortuneit delivers what you need,mackie mix series   mixer,17.84,0.8431372549019608,inf,12.75,36.63,51,1,5,4,0,2,0,2,8,51.0,0.0,12.75,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,28,7,25,7,29,7,26,7,0.9,0.27,0.25,0.0,0.0,0.0,28,28,28.0,28.0,0.97,0.97,3.68,5.2,0.99,140.33,0.96,1.0,8.0,2.0,0.31,1.0,0.15,0.08,0.23
B00B5HS96Y,5.0,this is a really nice pedal  solidly built  fantastic sound  you wont be disappointed  this thing stays on my board  it will give you as much or as little echodelay as you want  smooth and creamy  ive been playing and buying gear for way over  years  i rotated my  off my pedal board and this took its place  i love it,dunlop  echopuss analog delay,45.14,0.7704918032786885,61.0,8.714285714285714,26.48,61,1,7,7,1,4,1,2,9,61.0,61.0,8.7143,7.0,7.0,7.0,0.5714,4.0,1.0,1.0,2.0,0.2857,9.0,1.2857,32,11,29,11,38,12,31,12,0.82,0.39,0.34,0.27,0.82,0.64,32,32,32.0,32.0,0.84,0.84,3.67,5.19,0.95,33.44,0.94,1.0,11.0,2.35,0.35,0.92,0.19,0.06,0.26
B002EWV8NA,5.0,ive played guitar for years but was never a big pedal guy  i still wouldnt consider myself a big pedal guy but ive started playing gigs with a local guy and having your tuner boss  and overdrive fulltone fulldrive  loose in a bag wasnt practical  i didnt want to make my own so i started doing research on allinone boards with power supply already built in  i pretty much decided on the boss   but saw this was a lot cheaper and pretty much the exact same thing so after more research i decided on the behinger i couldnt be happier it took about  minutes to set it up out of the box and once its set up it takes seconds to get up and running at a show  you just place it at your feet take the top off plug in the power and then your amp and guitar and youre good to go  i dont get any interference and my pedals work perfectly  just for the record all of my pedals are boss brand except my overdrive which is stated above they all fit perfectly in the precut out slots i had to cut an extra hole for the overdrive but now that its in place its finei would recommend this product i hope this review helped in your decision if youre really looking into oneshawn,behringer ,26.24,0.6035242290748899,,,-142.02,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,30,88,29,139,42,120,41,0.86,0.34,0.31,0.09,0.28,0.38,98,40,42.5,40.8,0.71,0.82,5.88,8.31,0.93,30.26,0.73,0.81,21.12,3.25,0.22,0.73,0.15,0.06,0.21
B00LGWVNX4,5.0,i bought this to hold an old acoustic guitar which it does quite well not sure how it would hold up a les paul or a heavier electric but for my needs this worked great it was extremely easy to put together and i like the rubber restraint at the top that holds it in i am quite satisfied with it,  electric guitar stand  white,4.0,0.8032786885245902,20.333333333333332,8.714285714285714,43.4,61,1,9,7,3,4,3,1,4,61.0,20.3333,8.7143,7.0,3.0,2.3333,0.5714,1.3333,3.0,1.0,0.3333,0.1429,1.3333,0.5714,28,8,23,8,34,8,27,8,0.79,0.3,0.29,0.0,0.0,0.0,28,28,28.0,28.0,0.82,0.82,3.4,4.8,0.94,27.82,0.85,0.75,4.5,1.5,0.22,0.88,0.33,0.07,0.41
B005FKF1PY,5.0,worked straight out of the package i have used it with an acoustic guitar so far so cannot comment on how well it works with an electric guitar it is a good size i keep it on my headstock it is easy to turn on and off and to navigate very user friendly,planet waves  daddario ns micro clipon tuner,11.95,0.7358490566037735,54.0,9.0,51.52,54,1,8,6,1,5,1,1,6,54.0,54.0,9.0,6.0,8.0,6.0,0.8333,5.0,1.0,1.0,1.0,0.1667,6.0,1.0,25,6,20,6,30,7,23,7,0.77,0.3,0.24,0.12,0.12,0.25,25,25,25.0,25.0,0.83,0.83,3.23,4.56,0.95,27.56,0.87,0.88,6.12,1.75,0.3,0.71,0.22,0.13,0.35
